year,biogenic_ch4,key,emissions
2020,33.48393467,GHG emissions: gross,78.778366
2020,33.48393467,GHG emissions: net,55.465111
2020,33.48393467,GHG emissions: LULUCF,-23.313255
2020,33.48393467,Carbon dioxide: net,10.79052
2020,33.48393467,Carbon dioxide: gross,34.456753
2020,33.48393467,Carbon dioxide: LULUCF,-23.666233
2020,33.48393467,Methane: agricultural,30.472003
2020,33.48393467,Nitrous oxide: agricultural,8.002034
2020,33.48393467,Fluorinated gases,1.584892
2019,33.66544967,GHG emissions: gross,81.617058
2019,33.66544967,GHG emissions: net,58.582142
2019,33.66544967,GHG emissions: LULUCF,-23.034917
2019,33.66544967,Carbon dioxide: net,13.736289
2019,33.66544967,Carbon dioxide: gross,37.121034
2019,33.66544967,Carbon dioxide: LULUCF,-23.384745
2019,33.66544967,Methane: agricultural,30.607403
2019,33.66544967,Nitrous oxide: agricultural,7.890734
2019,33.66544967,Fluorinated gases,1.586113
2018,33.58892416,GHG emissions: gross,80.079582
2018,33.58892416,GHG emissions: net,55.777276
2018,33.58892416,GHG emissions: LULUCF,-24.302306
2018,33.58892416,Carbon dioxide: net,11.091043
2018,33.58892416,Carbon dioxide: gross,35.704539
2018,33.58892416,Carbon dioxide: LULUCF,-24.613496
2018,33.58892416,Methane: agricultural,30.482859
2018,33.58892416,Nitrous oxide: agricultural,7.869287
2018,33.58892416,Fluorinated gases,1.566134
2017,33.51270961,GHG emissions: gross,79.889594
2017,33.51270961,GHG emissions: net,55.185792
2017,33.51270961,GHG emissions: LULUCF,-24.703802
2017,33.51270961,Carbon dioxide: net,10.635802
2017,33.51270961,Carbon dioxide: gross,35.688127
2017,33.51270961,Carbon dioxide: LULUCF,-25.052325
2017,33.51270961,Methane: agricultural,30.34195
2017,33.51270961,Nitrous oxide: agricultural,7.773353
2017,33.51270961,Fluorinated gases,1.541222
2016,33.52085386,GHG emissions: gross,78.391484
2016,33.52085386,GHG emissions: net,52.153515
2016,33.52085386,GHG emissions: LULUCF,-26.23797
2016,33.52085386,Carbon dioxide: net,7.525912
2016,33.52085386,Carbon dioxide: gross,34.152639
