Participant,Sector,Activity,Schedule,Year,"Reported emissions
 (tCO_{2} e)","Reported removals
 (tCO_{2} e)"
A B Lime Limited,Waste,Operating a disposal facility,Three,2022,"26,893",
Affco New Zealand Limited,Agriculture,"Slaughtering ruminant animals, pigs, horses, or poultry",Three,2022,"2,497,259",
A-Gas (New Zealand) Limited,Industrial Processes,Importing hydrofluorocarbons or perfluorocarbons,Three,2022,"15,558",
AHI Carrier (NZ) Limited,Industrial Processes,Importing hydrofluorocarbons or perfluorocarbons,Three,2022,"15,630",
Air Nelson Limited,Liquid Fossil Fuels,Purchasing obligation fuel,Four,2022,-,
Air New Zealand Limited,Liquid Fossil Fuels,Purchasing obligation fuel,Four,2022,"557,840",
Alliance Group Limited,Agriculture,"Slaughtering ruminant animals, pigs, horses, or poultry",Three,2022,"2,704,622",
ample group limited,Agriculture,"Slaughtering ruminant animals, pigs, horses, or poultry",Three,2022,"50,660",
ANIMAL BREEDING SERVICES 2007 LIMITED,Agriculture,"Exporting from New Zealand live cattle, sheep, or pigs",Three,2022,-,
Ashburton Meat Processors Limited,Agriculture,"Slaughtering ruminant animals, pigs, horses, or poultry",Three,2022,"114,727",
Auckland Meat Processors Limited,Agriculture,"Slaughtering ruminant animals, pigs, horses, or poultry",Three,2022,"717,937",
Australasian Global Exports (NZ) Limited,Agriculture,"Exporting from New Zealand live cattle, sheep, or pigs",Three,2022,"31,107",
Austrex (NZ) Limited,Agriculture,"Exporting from New Zealand live cattle, sheep, or pigs",Three,2022,"75,395",
Ballance Agri-Nutrients (Kapuni) limited,Agriculture,Importing or manufacturing synthetic fertilisers containing nitrogen,Three,2022,"710,126",
Ballance Agri-Nutrients limited,Agriculture,Importing or manufacturing synthetic fertilisers containing nitrogen,Three,2022,"534,940",
Bathurst Coal Limited,Stationary Energy,Mining coal,Three,2022,"160,569",
Beach Energy Resources NZ (Kupe) Limited,Stationary Energy,Mining natural gas,Three,2022,"411,265",
Bio Plant Manawatu NZ Limited,Other Removal Activities,Producing a product with embedded substances,Four,2022,,-
Bio Plant Tairawhiti NZ Limited,Other Removal Activities,Producing a product with embedded substances,Four,2022,,-
Birchfield Coal Mines Ltd,Stationary Energy,Mining coal,Three,2022,"292,116",
"Blackwater Coal Company Limited, Roa Mining Company Limited",Stationary Energy,Mining coal,Three,2022,-,
