The_Year,Sector,Activity,Number_Of_Units
2009,Forestry Removal Activities,,692583
2010,Forestry Removal Activities,,4460095
2010,Other Removal Activities,Producing a product with embedded substances,137028
2011,Forestry Removal Activities,,9274847
2011,Other Removal Activities,Producing a product with embedded substances,568607
2012,Forestry Removal Activities,,13781447
2012,Other Removal Activities,Producing a product with embedded substances,646097
2013,Forestry Removal Activities,,31412993
2013,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,23098
2013,Other Removal Activities,Producing a product with embedded substances,950867
2014,Forestry Removal Activities,,10059683
2014,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,46411
2014,Other Removal Activities,Producing a product with embedded substances,1418938
2015,Forestry Removal Activities,,9913232
2015,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,77728
2015,Other Removal Activities,Producing a product with embedded substances,1374119
2016,Forestry Removal Activities,,7371450
2016,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,119824
2016,Other Removal Activities,Producing a product with embedded substances,1414506
2017,Forestry Removal Activities,,9022726
2017,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,207831
2017,Other Removal Activities,Producing a product with embedded substances,1648159
2018,Forestry Removal Activities,,21065980
2018,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,385434
2018,Other Removal Activities,Producing a product with embedded substances,1361584
2019,Forestry Removal Activities,,7194024
2019,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,630429
2019,Other Removal Activities,Producing a product with embedded substances,2845011
2020,Forestry Removal Activities,,9126296
2020,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,544284
2020,Other Removal Activities,Producing a product with embedded substances,2415794
2021,Forestry Removal Activities,,6462658
2021,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,701061
2021,Other Removal Activities,Producing a product with embedded substances,1910147
2022,Forestry Removal Activities,,10336619
2022,Other Removal Activities,Exporting hydrofluorocarbons or perfluorocarbons,583432
2022,Other Removal Activities,Producing a product with embedded substances,1710802
